ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
104834,Sami Sakari Salo,M,35.0,190.0,93.0,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Mens Ice Hockey,Bronze
20408,Svetlana Vladimirovna Chepelnikova,F,18.0,165.0,55.0,Belarus,BLR,1998 Winter,1998,Winter,Nagano,Speed Skating,Speed Skating Womens 3000 metres,NoMedal
30023,Kenneth Benoit Ken Dreyfuss,M,28.0,164.0,50.0,United States,USA,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Mens Coxed Pairs,NoMedal
120558,Gran Lars Titus,M,21.0,188.0,73.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Mens 4 x 100 metres Freestyle Relay,NoMedal
45133,Francesca Jean Fran Halsall,F,18.0,172.0,64.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Womens 100 metres Butterfly,NoMedal
11166,Zvonko Antun Bezjak,M,25.0,184.0,95.0,Yugoslavia,YUG,1960 Summer,1960,Summer,Roma,Athletics,Athletics Mens Hammer Throw,NoMedal
35199,Ernest William Fiene,M,37.0,175.0,70.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,Art Competitions Mixed Painting Unknown Event,NoMedal
79484,Sydney Albert Syd Middleton,M,28.0,188.0,70.0,Sydney Rowing Club,ANZ,1912 Summer,1912,Summer,Stockholm,Rowing,Rowing Mens Coxed Eights,NoMedal
52790,Eduard Georgiyevich Ivanov,M,25.0,176.0,83.0,Soviet Union,URS,1964 Winter,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Mens Ice Hockey,Gold
5145,Regyna Armonas,F,20.0,176.0,70.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Womens Volleyball,NoMedal
108346,Natalie Michle Seiler Pedrocchi,F,15.0,160.0,48.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Womens Balance Beam,NoMedal
78044,Adham Medhat,M,33.0,183.0,85.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Mens Trap,NoMedal
58699,John Graham Kenion,M,24.0,175.0,70.0,Mouchette-2,GBR,1908 Summer,1908,Summer,London,Sailing,Sailing Mixed 12 metres,Silver
90468,Edmund Pader,M,24.0,175.0,70.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Mens 400 metres Freestyle,NoMedal
17517,John Selwin Calverley,M,44.0,175.0,70.0,Brynhild-2,GBR,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 20 Ton,Silver
40743,Kathy Lee Gleason Jachter,F,19.0,163.0,53.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Womens Balance Beam,NoMedal
119341,Amela Terzi,F,23.0,169.0,54.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens 1500 metres,NoMedal
114283,Jaroslav Stano,M,22.0,198.0,92.0,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Mens Volleyball,NoMedal
32744,Emilio Gustavo Bodjedi Envela Mahua,M,16.0,176.0,77.0,Equatorial Guinea,GEQ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Mens 100 metres,NoMedal
108918,Mara Luisa Servn Ortz,F,29.0,152.0,46.0,Mexico,MEX,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Womens 10000 metres,NoMedal
7652,Issi Israel Baran,M,24.0,180.0,69.5,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Mens 4 x 100 metres Relay,NoMedal
